minHBint8,minHBint4,minHBint7,nAtomLAC,nN,ETA_dBeta,SsssCH,SaaNH,minHBint6,C3SP2,nBondsD2,MDEC-22,ALogP,BCUTp-1l,minHBa,maxHBa,SdssC,minHBint5,nHsOH,AMR,Caco-2
0,-0.753889859,0,2,2,-1.5,0.296050829,0,0,2,0,25.7289401,-0.3921,5.246240526,-1.548391579,9.961828996,0,3.168279198,1,134.7554,0
0,-0.64285886,0,3,1,-5.5,1.38341474,0,0,1,0,19.93195995,0.9134,5.228809256,-1.326164212,9.885492702,0,3.141901948,1,127.3088,1
3.454438122,-0.72300256,-0.807891343,2,1,-1.75,0.402945197,0,0,2,0,28.05161539,0.792,4.830751719,-1.526509204,9.996097041,0,3.091464748,2,144.7958,0
0,-0.654630859,0,2,1,-5,1.277801368,0,0,1,0,18.07508234,0.6578,5.228810119,-1.325654953,9.842211964,0,3.181118461,1,122.857,1
0,0,6.660392973,0,0,7,0,0,0,6,3,15.07473681,1.4808,5.155021361,9.894822583,13.56086215,-0.032902494,0,2,112.3889,0
0,-0.668209162,-0.485481521,2,1,-1.5,0.678432516,0,0,1,0,23.39383364,0.6433,5.273857178,-1.386349397,9.95529736,0,3.161130498,1,135.5893,0
0,-0.619739922,0,2,1,-7,1.67628511,0,0,1,0,28.29943937,-0.0304,5.237121814,-1.333489315,9.987838381,0,3.063120875,1,130.5706,0
7.226261962,-0.841815804,6.516033255,2,1,3,0,0,-0.933571283,4,1,25.33479992,0.7973,4.917390984,-1.769143685,13.69396848,-0.009368956,0,2,144.7399,0
0,-0.765546426,3.345962214,2,1,-2.25,0.221685803,0,-0.822979856,3,0,28.0495649,0.9924,4.910490296,-1.603351688,9.988607813,0,3.112456999,2,144.0948,0
0,-0.765728393,3.382952485,0,1,2,0.258061251,0,-0.822425275,4,1,20.46423865,2.0699,4.911695987,-1.582789686,9.954458083,1.402910132,3.149736333,2,133.5566,0
0,-0.762012431,3.368689344,0,2,-1,0.259012383,0,-0.818863025,2,0,20.46423865,1.8632,4.91143191,-1.587080808,9.97294907,0,3.134813856,2,138.1712,0
0,-0.7032453,3.385320663,3,1,-3.75,0.666531793,0,-0.754625713,1,0,21.48211084,-0.4649,4.899435099,-1.434371437,9.8729488,0,3.154823383,2,110.3589,0
0,-0.747182107,3.334532215,3,1,-1.25,0.292647578,0,-0.803675315,3,0,29.8022931,0.8977,4.910908739,-1.577103786,9.991396897,0,3.100136036,2,140.8283,0
0,-0.758307644,3.349901648,0,2,-1.5,0.255288103,0,-0.81541042,2,0,22.94430648,1.5752,4.911609029,-1.594120906,9.99294907,0,3.115309743,2,141.0828,0
0,-0.755169655,3.369565362,0,1,0.5,0.934311918,0,-0.811458854,3,0,20.46423865,0.66,4.911519356,-1.571408513,9.959731478,0,3.13582568,2,128.6323,0
0,-0.75867866,3.353553782,0,2,-1.5,0.258005343,0,-0.815691412,2,0,22.57498309,2.1136,4.911469355,-1.591607709,9.988743026,0,3.11915714,2,142.465,0
0,-0.765668027,3.385149496,0,2,-0.25,0.260015852,0,-0.822330359,2,0,20.46423865,1.3273,4.911355668,-1.581825179,9.955101848,0,3.151897173,2,132.8765,0
0,-0.753916129,3.360583132,0,1,-0.25,0.28767509,0,-0.810311056,3,0,25.40115041,1.1233,4.911109365,-1.574360102,9.971010841,0,3.126697837,2,133.0513,0
0,-0.762014098,3.366517244,0,2,-0.75,0.256291572,0,-0.818928613,2,0,22.94430648,1.0393,4.911532696,-1.588865277,9.975101848,0,3.132548504,2,135.7881,0
0,0,0,0,0,-5.5,1.998644127,0,0,2,0,10.50262991,0.4395,5.03756323,9.677186713,10.37248662,0,0,2,80.1526,1
0,0,0.324605252,11,1,-15.25,1.310501244,0,-0.506977643,2,1,0,-3.1522,4.936704728,-1.313082166,12.15007624,0.302311244,0.303999622,3,150.1158,0
0,0,0,4,0,7.5,0,0,0,6,3,29.82883841,3.9326,3.924637767,8.802781897,10.72359139,1.550912984,0,1,123.6787,0
0,0,0.808657694,0,0,-3.75,1.091981781,0,-0.642478938,2,0,11.76323952,1.5603,5.213276152,-1.538367137,11.56138125,0,0.756871308,3,125.807,0
-0.974213815,0,0,3,0,-3,2.25836583,0,-0.592560081,3,2,18.48339405,1.6064,3.927780399,-1.436365615,10.83773496,-0.928041184,0,3,133.4184,0
0,0,0,3,1,-4.5,2.365403839,0,-0.569152269,3,2,18.48339405,1.416,4.866276898,-1.414019936,11.85821518,-0.002115258,0,2,145.034,0
0,0,2.1138214,11,1,-13.75,1.296686615,0,-0.569344685,2,2,0,-3.012,4.936695749,-1.412619203,13.87135318,0.62028736,5.590736122,2,149.4242,0
0,0,0,9,0,-16,2.038723334,0,0,2,1,32.42324449,-0.8363,3.126073892,10.14394121,12.97428382,0,0,2,139.5113,0
0,0,0,11,1,-14.5,2.935110651,0,-0.384981582,2,1,0,-2.5791,4.936675961,-0.997109944,12.14542925,0.320720163,0,2,149.0187,0
0,-0.644313124,-0.685814381,2,1,-0.25,1.228254688,0,-0.715279309,2,0,23.55095242,1.7623,4.949744095,-1.425766862,10.04283723,0,-0.617771548,2,143.1932,0
0,-0.793128408,0,2,1,-0.75,0.1185648,0,2.98646923,2,0,23.37087571,1.0176,5.226021712,-1.639374614,10.06019611,0,-0.755381618,2,137.0188,0
0,-0.641863262,-0.684108324,2,1,-0.75,1.226111087,0,-0.713045774,2,0,25.91601316,1.4743,4.949766088,-1.430113045,10.05672612,0,-0.615814603,2,146.1048,0
0,-0.657736682,0,2,1,-0.75,1.14625659,0,-0.605360254,2,0,25.7289401,1.4743,5.30534676,-1.465480056,10.1339681,0,-0.635846082,2,146.1048,0
0,-0.644731856,0,2,1,-0.75,1.198622845,0,-0.590017244,2,0,22.34094586,1.927,5.317506615,-1.464724198,10.18743518,0,-0.620192774,2,153.639,0
0,-0.629164257,-0.671381942,2,1,-0.75,1.278477342,0,-0.700309147,2,0,22.50166877,1.927,4.955846401,-1.429357187,10.1008461,0,-0.603175787,2,153.639,0
0,-0.631649367,-0.673126156,2,1,-0.25,1.280620943,0,-0.70257793,2,0,20.2427291,2.215,4.955824425,-1.425011004,10.08695721,0,-0.605170889,2,150.7274,0
0,-0.790157876,0,2,1,-1.25,0.116421199,0,2.969454188,2,0,25.7289401,0.7296,5.226065847,-1.643720797,10.07576704,0,-0.751696612,2,139.9304,0
0,0.708774508,0.60772363,3,7,-3,0,0,0,2,0,21.50117505,0.1895,4.756747253,0.914151349,9.479514966,0,0,1,140.7909,0
0,0.699822397,0.59641053,3,7,-3,0,0,0,2,0,21.50117505,-0.2694,4.00367951,2.043702714,13.13390306,0,0,1,136.2025,0
0,0.714181965,0.616605618,2,7,-3.75,1.248832192,0,0,2,0,20.59776482,-0.2316,4.756846079,2.17275364,9.488546884,0,0,1,139.5388,0
0,0.677338136,0.787428628,3,8,-2.75,0,0,0,2,0,25.26142358,0.7699,4.756928507,-0.893909111,9.572743253,0,0,1,173.4056,0
0,0.689214404,0.737300532,3,7,-5,0,0,1.194714267,2,0,25.66536712,0.186,4.13833175,0.902201336,9.514886248,0,0,2,152.3779,0
0,-0.420687158,-0.369043189,3,6,-1.75,0,0,0,2,0,21.50117505,1.1891,4.758005666,-1.309043893,9.465234188,0,0,1,140.3877,0
0,0,1.899861081,0,1,4.5,-0.274982311,0,0,4,2,11.36900616,1.4496,5.229351194,2.816134732,11.98306193,0,2.188156435,0,122.6754,1
0,0,0,4,0,4.75,0,0,0,5,1,21.92861822,3.9275,3.788222656,9.558381532,13.39722989,0.525930178,0,2,111.1829,0
0,0,0,2,0,8,0,0,0,4,1,22.82673773,2.7694,4.871240234,9.482624335,9.482624335,1.033518519,0,2,101.5166,0
0,0,0,4,1,3.75,0,0,0,5,1,28.78620472,3.647,5.541726568,2.123016168,5.8709882,2.640942288,0,0,132.0986,1
0,0,0,4,0,7,0,0,0,5,1,21.92861822,2.8807,4.901087891,9.609122272,9.609122272,2.343221844,0,2,110.647,0
0,0,0,6,0,6,0,0,0,5,1,27.84995734,2.1115,4.908456055,9.693352963,9.693352963,2.424518141,0,2,116.8838,0
0,0,0,3,0,7.5,0,0,0,5,1,18.81097953,3.2158,4.891263672,9.551927056,9.551927056,2.220536659,0,2,105.7986,0
0,0,0,5,0,6.5,0,0,0,5,1,24.9516584,2.3995,4.906,9.655295112,9.655295112,2.395860733,0,2,113.9722,0
0,0,0,4,0,7.25,0,0,0,5,1,25.06758196,3.4438,4.90116208,9.605788939,9.605788939,2.529434996,0,1,109.0415,1
0,0,0,6,0,3.5,0,0,0,4,1,12.19770129,1.9798,4.860942871,9.410679688,9.410679688,2.552203326,0,2,91.2618,1
0,0,0,2,1,2.25,0,0,3.35546633,5,0,30.69900025,0.8955,4.836388254,2.477829604,9.813258904,0,0,2,152.6685,0
0,0,0,2,2,1,0,0,1.181979144,4,0,28.94948714,1.1373,4.869006951,2.280463484,10.07688443,0,1.053384066,2,144.7127,0
0,0,0,2,2,0.5,0,0,1.177187326,4,0,31.627845,0.8493,4.86901795,2.283422064,10.09077331,0,1.047703084,2,147.6243,0
0,0,0,6,2,-2,0,0,1.252127959,3,0,26.52019451,-0.3452,4.863210864,2.385870811,9.978580834,0,1.119407382,2,118.0528,0
2.34112505,2.192352887,4.088270588,0,0,-3.5,-8.01866753,0,2.451590203,5,2,1.896786731,-1.837,4.374306948,5.276898379,13.17132679,-1.375145109,2.464375503,6,109.5218,0
0,2.909314783,3.294639836,0,0,4,0,0,7.661585764,3,2,5.831778724,-0.3872,4.822117821,5.28742654,12.38182115,-0.145435563,0,3,78.9209,1
0,3.320724281,3.34396925,0,0,4.25,0,0,7.623943498,3,2,7.687648,0.1759,4.820276228,5.366593207,12.32098781,0.240860733,0,2,77.3154,1
4.805806114,5.067342997,0,0,0,4.25,0,0,4.970643891,5,2,1.543081844,0.2539,5.111577717,9.457360481,12.37685185,-1.148703704,6.289360591,3,76.8217,1
0,0,0,0,0,5,0,0,7.292949121,4,2,4.421582401,0.3706,5.040115234,9.380842992,12.17207483,-0.647222222,7.292949121,2,70.9342,1
6.339080496,0,0,2,2,-0.75,-0.416283234,0,0.790423745,4,2,29.25082074,1.2229,5.110848145,1.731764164,13.8884902,0,0,1,146.6426,0
0,0,0.993168727,0,1,4.5,-0.006840514,0,0,4,1,19.99733153,1.6557,4.857347414,1.814117536,12.94886516,-0.024656295,0.893291202,2,111.6368,0
0,0,-0.498066939,0,1,4,0.360159465,0,1.272355137,2,0,19.1375171,2.1941,5.097434637,-0.993342834,9.79550628,0,0,1,102.8646,1
0,0,0,3,2,0.5,0.083185479,0,1.138299193,4,2,33.81116007,2.2665,5.075123519,1.821226813,12.38390905,0.030007702,0,1,142.533,0
6.350698679,0,0,2,2,1.25,-0.446222765,0,0.775203659,5,2,0,1.3209,5.115355826,1.756671571,14.39117539,0,0,1,160.5576,0
0,0,0,3,2,3,0.090056344,0,1.151281907,4,2,26.64308628,2.5788,4.857375217,1.553865702,11.78418683,-0.028603409,0,1,133.4585,0
0,0,0,2,1,0,0.713497927,0,0,4,0,33.74500682,2.0296,5.081119236,2.479367105,10.00542516,0,0,1,134.7237,0
0,0,0.86455241,0,1,4.75,-0.149595144,0,0,3,2,19.99733153,1.1028,4.875771343,1.594210128,13.28451331,0,0.771050098,2,115.8847,0
0,0,0,2,2,-4.25,0.100391569,0,1.140172191,4,0,32.18147354,0.7927,5.071986573,2.469001909,10.07384289,0,0,1,144.4089,0
0,0,0,0,1,-2,1.286634543,0,1.233176681,2,0,27.46361649,1.2324,5.063532944,2.591256614,9.865237383,0,0,1,100.7575,1
0,0,0,0,1,4,0.29087963,0,1.22888404,3,0,27.46361649,2.9059,5.062404718,2.492441421,9.83355114,0,0,1,110.4656,1
6.30342354,0,0,2,2,-0.5,-0.207679576,0,0.91089605,4,1,32.0570054,1.3294,5.073389544,1.942412312,13.44154198,0.018763605,0,1,138.1127,0
0,0,1.30665718,0,1,3.75,0.230242819,0,0,4,0,23.80320439,2.3153,4.856090634,2.411339758,9.905868855,0,1.165647869,2,111.8055,1
0,0,0,0,1,-1.5,1.1894435,0,1.24731817,2,0,25.18983303,0.9768,5.074679884,2.606515495,9.854156995,0,0,1,96.3057,1
0,0,0.853916045,0,1,6.25,-0.176202391,0,0,5,2,23.98456152,1.6472,4.878331691,1.628376795,13.89849857,0,0.746694585,2,134.0817,0
6.394980694,0,0,2,1,-0.5,-0.78969393,0,0.474765679,3,1,10.3033513,2.7897,3.608970937,0.884212018,13.00510687,-1.826313657,0,1,93.829,0
6.997042692,0,0.429933595,2,1,-0.75,-0.471064815,0,0,3,1,10.46245104,1.546,3.500679839,0.735413832,12.79775137,-1.902526665,0.402080165,2,88.3357,1
6.369801983,0,0,2,2,-0.25,-0.412669288,0,0.796389906,3,2,32.0570054,0.7765,5.110234681,1.722504904,13.77719013,0,0,1,142.3606,0
6.464727033,0,0,2,1,-0.75,-0.926782407,0,0.427461409,3,1,10.3033513,1.7739,3.598624899,0.783493953,12.95575502,-1.903425926,0,2,87.9003,0
6.320234033,0,0,2,2,1.25,-0.439276536,0,0.775579708,5,2,0,1.3209,5.112794758,1.745097497,14.22087824,0,0,1,160.5576,0
6.455149853,0,0,2,1,-0.5,-0.810486111,0,0.466947142,3,1,13.00917749,2.337,3.596783113,0.855867347,12.93163979,-1.842520314,0,1,86.2948,1
6.277043229,0,0,3,2,-1.75,-0.417195014,0,0.781942741,4,2,0,0.4066,5.111305251,1.749780745,14.04636018,0,0,1,154.8162,0
0,0,0,0,1,4.5,0.183287037,0,1.226853726,3,0,25.18983303,2.8435,5.072423779,2.453089569,9.814383594,0,0,1,105.6002,1
6.4480936,0,-0.812206422,2,1,-1,-0.633613683,0,0.514246557,2,1,8.153117492,1.6876,3.646914556,-1.485211456,12.88515453,-1.781643519,0,1,83.5592,1
0,0,0,2,2,-0.75,0.116111051,0,1.151744978,3,0,33.74500682,1.7262,5.075884785,2.46093083,9.991819717,0,0,1,134.117,0
0,0,0,0,1,0.5,0.903286092,0,1.278007472,2,0,12.89148026,2.2086,5.052387396,2.490126606,9.682420883,0,0,1,90.1323,1
0,0,0,2,2,-1.25,0.165005609,0,1.173205137,4,0,0,1.989,5.070875023,2.476392663,10.00999202,0,0,1,138.2814,0
6.231696992,0,0,2,2,-5.75,-0.877662097,0,0.443488055,3,1,20.88510521,1.2197,3.603726065,0.863708608,13.23922018,-1.859106766,0,1,114.8116,0
2.613319552,0,0,2,2,-5,-0.243472282,0,0.871794437,3,1,22.50881328,1.0251,4.984643155,1.769958608,12.61769939,-0.312810469,0,1,119.7188,0
0,-0.921143484,3.29870201,2,1,-1.5,-0.102371318,0,-0.935614901,2,0,23.69807092,0.6394,4.45518407,-1.799238559,14.05235137,0,3.247680064,2,140.0582,0
0,-0.773156496,3.358890641,2,1,-1.25,0.196275696,0,-0.830769106,2,0,25.91601316,0.7296,4.91013974,-1.608353786,9.977508008,0,3.125956538,2,139.9304,0
0,3.087512133,3.414377751,0,1,2.75,0,0,0,1,1,5.831778724,-0.4332,4.80228904,5.469093207,9.758892878,0.646749811,0,3,76.9476,1
0,0,0,2,2,-2.25,0,0,1.092147895,4,0,33.10106743,2.0896,5.116453199,2.498056077,10.12187072,0,0,1,145.9482,0
0,-0.672885145,3.346433338,2,1,-1.5,0.2296056,0,-0.817608998,2,0,23.67200061,1.0983,4.917781951,-1.614912428,10.30544011,0,2.754085737,2,144.6466,0
0,-0.802934349,0,2,1,0.75,0.105369973,0,3.020216369,2,0,15.58402163,1.775,5.225888084,-1.636237971,10.02059541,0,-0.766719443,2,133.1646,0
0,3.452506973,3.521885287,0,1,2,-0.158478836,0,0,1,1,7.230962,-0.0621,4.829922136,5.905898762,9.504410398,0.838601663,0,2,82.9132,0
0,0,0,2,1,0,0.713497927,0,0,4,0,33.74500682,2.0296,5.081119236,2.479367105,10.00542516,0,0,1,134.7237,0
0,3.500717894,0,0,1,2,-0.133240741,0,3.363697171,2,1,5.547406508,0.0414,4.912577791,5.886618481,9.526149219,0.896472033,0,2,77.7482,0
0,0,0,2,2,-3.25,0.511989171,0,1.070462227,4,0,33.10106743,2.0205,5.117680485,2.509642888,10.17383763,0,0,1,154.7139,0
0,2.795100953,3.32138528,2,1,-1.75,0.186744328,0,-0.804937524,3,0,23.69807092,1.176,4.912136885,-1.583683004,10.2544505,0,-0.677392549,2,144.2124,0
0,3.44640335,3.525169324,0,1,2,0,0,0,1,1,5.770138992,0.9258,4.839747923,5.944093207,9.515653785,0.787675737,0,2,84.5481,0
0,0,0,4,1,3.5,0,0,0,5,1,25.56046928,3.0839,4.904491981,2.104580391,9.743624367,2.454729136,0,1,133.7041,1
0,3.176556623,3.346981667,2,1,-1.25,0.196275696,0,-0.800855847,2,0,25.82587722,0.7296,4.909677801,-1.550442263,9.967413466,0,-0.760077048,2,139.9304,0
0,-0.790157876,0,2,1,-1.25,0.116421199,0,2.969454188,2,0,25.7289401,0.7296,5.226065847,-1.643720797,10.07576704,0,-0.751696612,2,139.9304,0
0,-0.78806981,0,2,1,-1.75,0.9563548,0,2.953337483,2,0,23.11383201,1.151,5.226084427,-1.648878687,10.08868942,0,-0.748966256,2,145.5541,0
0,3.240121327,3.14944113,0,1,1.5,-0.14287184,0,0,2,1,3.673434964,0.837,5.084651243,6.045689012,9.757149228,0.89100907,0,2,94.7294,1
0,3.089258414,3.455731333,0,1,2.25,-0.325701058,0,0,1,1,4.162963616,-0.3372,4.821938473,5.67742654,9.845155161,0.651379441,0,3,81.6071,1
0,-1.039698197,3.308393597,2,1,-1.5,-0.221409489,0,-1.059134764,2,0,23.67200061,0.6394,4.909781321,-2.030807489,14.73511617,0,3.247680064,2,140.0582,0
0,0,0,2,2,-1.75,0,0,1.099487962,4,0,30.67113643,2.3776,5.116409053,2.475429925,10.10629978,0,0,1,143.0366,0
0,0,3.245183906,2,1,-0.5,-1.654290147,0,0,2,2,25.91601316,-0.2862,4.934202336,2.417681897,13.84935172,0,3.032308601,2,140.7785,0
0,0,0,2,3,-3.5,0,0,1.067673656,3,0,32.83564939,1.4142,5.119809257,2.145630468,10.18328486,0,0,1,155.2853,0
0,2.9537626,3.32312953,2,1,-1.75,0.185257178,0,-0.809388329,3,0,23.45952741,1.176,4.91459212,-1.597895967,10.1482468,0,-0.719424553,2,144.2124,0
0,-0.725103368,0,2,1,-1,0.398550829,0,0,2,0,28.61998982,1.2927,5.248846357,-1.508391579,9.974174675,0,3.141464231,1,138.3249,0
0,3.079457365,3.474675552,0,1,1.75,-0.274775132,0,0,1,1,5.43191025,-0.6252,4.831762626,5.826732096,9.917859242,0.686101663,0,3,84.5187,1
0,0,0,2,2,-2,0,0,1.099662791,3,0,33.10106743,2.0119,5.117135613,0.86904349,10.12641461,0,0,1,146.3824,0
0,-0.851845142,3.373600527,2,1,0.25,0,0,-0.913769522,2,1,25.91601316,0.4046,4.921811672,-1.728724156,9.961446028,2.090588333,3.144978194,2,142.1086,0
0,0,0,2,2,-1.5,0,0,1.107066257,3,0,30.67113643,2.2999,5.117091467,0.869519789,10.11084368,0,0,1,143.4708,0
0,0,0,2,2,-2,0,0,1.103011075,3,0,32.83564939,2.0119,5.119045914,0.836368645,10.13313692,0,0,1,146.3824,0
0,-0.672670094,3.367128496,2,1,-1.5,0.218273401,0,-0.822402372,2,0,23.69807092,1.0983,4.912051358,-1.61439631,10.30544011,0,2.754085737,2,144.6466,0
0,-0.72347197,3.37162394,2,1,-1.75,0.185257178,0,-0.834372176,3,0,23.45178305,1.176,4.912596435,-1.641594526,10.15834134,0,2.923486047,2,144.2124,0
0,-1.039698197,3.308393597,2,1,-1.5,-0.221409489,0,-1.059134764,2,0,23.67200061,0.6394,4.909781321,-2.030807489,14.73511617,0,3.247680064,2,140.0582,0
0,-0.773156496,3.358890641,2,1,-1.25,0.196275696,0,-0.830769106,2,0,25.91601316,0.7296,4.91013974,-1.608353786,9.977508008,0,3.125956538,2,139.9304,0
0,3.176902602,3.33891097,2,1,-1.25,-0.111337472,0,0,3,0,29.12946339,0.4557,4.855018815,2.475049267,9.943750914,0,0,2,135.7486,0
0,-0.725103368,0,2,1,-1,0.398550829,0,0,2,0,28.61998982,1.2927,5.248846357,-1.508391579,9.974174675,0,3.141464231,1,138.3249,0
0,0.307137401,3.334760613,2,1,-1.5,0.2296056,0,-0.788289153,2,0,23.45952741,1.0983,4.91732134,-1.557000905,10.17441964,0,-0.699474492,2,144.6466,0
0,3.025947235,3.125800265,0,1,1.75,0,0,0,1,1,2.581081793,0.8154,5.005924003,5.923883456,9.995239174,0.680083144,0,3,93.6878,0
0,0,0,2,2,-1.75,0,0,1.103573593,3,0,0,1.6432,5.115225724,2.484722743,10.09133812,0,0,1,141.6662,0
0,0,0,2,2,-2.25,0,0,1.096279733,3,0,0,1.3552,5.115269958,2.487681323,10.10690905,0,0,1,144.5778,0
0,2.547843033,3.306089407,2,1,-1.5,-0.085853933,0,-0.954500741,2,0,23.45952741,0.1665,4.911516128,-1.847895967,10.46905444,0,-0.905898494,3,141.5359,0
0,3.478569775,3.311600394,0,1,1.5,-0.082089947,0,0,2,1,7.323661991,-0.2466,4.916841981,5.950482096,9.573686008,0.9068887,0,2,80.6598,1
0,0,0,2,2,-1.25,0.114953644,0,1.14460406,3,0,0,1.4382,5.07592893,2.46388941,10.00739065,0,0,1,137.0286,0
0,0,0,2,2,-3.25,0.478332258,0,1.068573191,4,0,32.83564939,2.0205,5.12013671,2.510352992,10.1887945,0,0,1,154.7139,0
0,0,3.387873927,2,1,-1,0.398550829,0,-0.73095373,2,0,28.52648093,1.2927,4.909223559,-1.415113045,9.749552826,0,0,1,138.3249,0
0,0,0,0,0,-4,1.885436036,0,0,2,1,10.50262991,1.0092,5.037269028,9.665588917,12.26195321,0.511530612,0,1,81.1737,1
0,3.224938537,3.296369345,2,1,-1.5,-0.221409489,0,-1.028931947,2,0,23.45952741,0.6394,4.909318728,-1.972895967,14.67391246,0,-1.006635465,2,140.0582,0
0,3.443357564,3.463801832,0,1,3,0,0,0,1,1,7.687648,0.1299,4.80044513,5.548259873,9.345444034,0.799249811,0,2,75.3421,1
0,3.034589547,3.124947622,0,1,1.75,-0.253982951,0,0,1,1,3.673434964,-0.1725,4.986275001,5.885689012,9.983995788,0.73100907,0,3,92.0529,0
0,3.252233628,3.144456753,0,1,2,-0.193797766,0,0,2,1,2.581081793,1.125,5.065003619,5.896383456,9.699954012,0.856286848,0,2,91.8178,1
0,0,0,0,1,4.25,0.011435185,0,1.179913618,3,0,22.08944702,2.7533,4.125640256,2.339899849,13.37610728,0,0,1,105.728,1
0,0,0,2,2,-2.75,0.512503574,0,1.077901385,4,0,30.67113643,2.3085,5.117636339,2.478392888,10.15826669,0,0,1,151.8023,0
0,0,0,2,2,-2,0,0,1.043566683,3,0,33.10106743,1.553,4.121503948,2.33138941,13.65465475,0,0,1,141.794,0
0,0,0,2,3,-3,0,0,1.075072446,3,0,30.40947354,1.7022,5.11976511,2.143900364,10.16771393,0,0,1,152.3737,0
0,3.178148675,3.317297276,2,1,-0.5,-1.155318954,0,6.837465042,3,1,25.82587722,0.0321,4.860049517,2.438949634,13.50225989,-0.084446429,0,2,137.1588,0
3.634551415,-0.817996695,0,2,1,-1.25,-0.021912134,0,0,2,0,25.5566871,0.7296,5.252520663,-1.701632319,10.58387939,0,2.359654224,2,139.9304,0
0,1.033482378,0,2,2,-2,0,0,1.041763615,3,0,32.83564939,1.0801,5.116121914,2.345556077,10.14941972,0,0,2,143.2717,0
0,2.797577064,3.299636896,2,1,-2.25,0.187022106,0,-0.807555114,3,0,25.36381089,0.8409,4.917048156,-1.620720041,10.27935791,0,-0.68468069,2,149.0608,0
0,-0.710341782,3.391047656,2,1,-1.5,0.2296056,0,-0.820739679,2,0,23.45178305,1.0983,4.913961121,-1.615421687,10.18451418,0,2.934916997,2,144.6466,0
0,0,0,2,2,-1.5,0,0,1.05029923,3,0,30.67113643,1.841,4.121481968,2.32843083,13.63459302,0,0,1,138.8824,0
0,-0.747822773,0,2,1,-2,0.29271844,0,0,2,0,25.91601316,0.7941,4.81856427,-1.578456063,10.02594694,0,3.108078619,1,144.9684,0
0,-0.785265754,0,2,1,-2.25,1.349845553,0,2.929328589,2,0,20.10486776,0.7082,5.226218805,-1.657404229,10.10849852,0,-0.745005767,2,149.0992,0
0,3.431811591,3.516329231,3,1,1.5,-0.144589947,0,0,1,1,8.962524931,-0.3501,4.834834011,5.997148762,9.561605614,0.85651833,0,2,85.8248,1
0,2.792762784,3.329286188,2,1,-1.5,0.218273401,0,-0.791316845,2,0,23.69807092,1.0983,4.913501796,-1.557510164,10.29534556,0,-0.663794012,2,144.6466,0
0,2.598478816,3.359745278,2,1,-2.25,0.187022106,0,-0.802738699,3,0,25.40408989,0.8409,4.913364872,-1.601234444,10.4457005,0,-0.620850491,2,149.0608,0
0,0,0,2,2,-1.25,0,0,1.110846978,3,0,33.74500682,1.9312,5.115181577,2.473729245,10.07576718,0,0,1,138.7546,0
0,0,0,2,2,-1.5,0,0,1.110472166,3,0,30.40947354,2.2999,5.119001767,0.836902627,10.11756598,0,0,1,143.4708,0
0,-0.800167817,0,2,1,-1.75,0.090697991,0,2.98646923,2,0,23.11383201,1.4627,5.226039336,-1.653924878,10.06884663,0,-0.762086005,2,142.2391,0
